Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY,AZone,AZoneVal,HZone,HZoneVal,AZDiff,A_DaysSLG,A_LWAwayG,A_LWHomeG,H_DaysSLG,H_LWAwayG,H_LWHomeG,H_LWGAdv,Turf,Grass,Hybrid,Roof_Open,Roof_Fixed,Roof_Retract
20151004WAS,2015-10-04 13:03:00,WAS,PHI,3,9.666666666666668,9.166666666666668,9.666666666666668,10.166666666666668,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,110.5,114.0,19.5,17.833333333333336,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667,2.5,5.166666666666667,11.833333333333334,15.666666666666668,32.16666666666667,71.83333333333333,EST,3,PST,0,-3,7.0,1.0,0.0,10.0,1.0,0.0,0.0,0,1,0,1,0,0
20151004MIA,2015-10-04 09:37:00,MIA,NYJ,-13,11.333333333333332,8.5,9.5,9.5,0.6666666666666667,0.6666666666666667,0.16666666666666666,0.16666666666666669,116.33333333333334,135.83333333333331,19.333333333333336,21.166666666666668,0.8333333333333334,0.5,0.33333333333333337,1.1666666666666667,1.3333333333333333,11.166666666666668,13.166666666666668,9.0,50.333333333333336,36.333333333333336,EST,3,EST,3,0,7.0,0.0,1.0,7.0,0.0,1.0,0.0,1,0,0,1,0,0
20151004IND,2015-10-04 13:02:00,IND,JAX,3,8.166666666666668,9.333333333333334,8.666666666666668,10.0,0.33333333333333337,0.8333333333333334,0.16666666666666669,0.5000000000000001,113.0,122.5,17.666666666666668,19.333333333333336,0.5,1.1666666666666667,1.1666666666666667,0.8333333333333334,3.3333333333333335,3.0,12.333333333333336,10.666666666666668,46.00000000000001,48.33333333333333,EST,3,EST,3,0,7.0,1.0,0.0,7.0,1.0,0.0,0.0,1,0,0,0,0,1
20151004SDG,2015-10-04 16:05:00,SDG,CLE,3,9.666666666666668,11.0,8.166666666666668,11.333333333333334,1.3333333333333335,0.8333333333333334,0.8333333333333334,0.6666666666666667,115.16666666666666,148.16666666666669,16.0,18.0,0.33333333333333337,0.6666666666666667,1.6666666666666665,1.666666666666667,8.833333333333332,10.666666666666668,12.0,14.0,43.16666666666667,52.83333333333334,EST,3,PST,0,-3,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,0,1,0,1,0,0
20151004CHI,2015-10-04 13:02:00,CHI,OAK,2,12.833333333333334,7.666666666666668,10.333333333333334,8.333333333333334,0.5,0.5000000000000001,0.33333333333333337,0.0,141.33333333333334,81.16666666666669,20.166666666666668,14.166666666666668,0.33333333333333337,0.5000000000000001,0.5000000000000001,1.0,3.3333333333333335,7.000000000000001,10.833333333333334,14.666666666666668,52.5,66.00000000000001,PST,0,CST,2,2,7.0,1.0,0.0,7.0,1.0,0.0,0.0,0,1,0,1,0,0
20151004TAM,2015-10-04 13:03:00,TAM,CAR,-14,11.833333333333334,8.166666666666668,11.0,8.0,0.0,1.0,0.0,0.33333333333333337,108.0,106.0,16.5,15.000000000000002,0.33333333333333337,0.5,0.8333333333333334,1.1666666666666667,6.166666666666668,7.000000000000001,16.333333333333336,13.5,66.0,48.00000000000001,EST,3,EST,3,0,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,0,1,0,1,0,0
20151004NOR,2015-10-04 20:30:00,NOR,DAL,6,12.5,10.0,11.833333333333336,11.0,0.8333333333333334,1.0,0.5000000000000001,0.5,137.66666666666666,147.16666666666666,17.5,20.666666666666668,0.5,0.5,0.8333333333333335,1.166666666666667,5.0,6.166666666666667,12.833333333333334,11.833333333333334,52.666666666666664,38.0,CST,2,CST,2,0,7.0,0.0,1.0,7.0,1.0,0.0,-1.0,1,0,0,0,1,0
20151005SEA,2015-10-05 20:31:00,SEA,DET,3,9.333333333333334,12.333333333333336,10.5,9.833333333333334,0.6666666666666667,0.16666666666666669,0.5,0.16666666666666669,130.0,106.00000000000001,21.333333333333336,16.833333333333336,0.8333333333333335,0.33333333333333337,1.0,2.0,5.666666666666666,9.333333333333334,8.5,14.333333333333332,22.5,67.0,EST,3,PST,0,-3,8.0,0.0,1.0,8.0,0.0,1.0,0.0,1,0,0,1,0,0
20151008HOU,2015-10-08 20:26:00,HOU,IND,-7,10.285714285714288,11.000000000000002,11.714285714285715,14.142857142857144,1.142857142857143,1.142857142857143,0.7142857142857144,0.5714285714285714,143.0,162.57142857142858,23.285714285714285,28.714285714285715,1.0000000000000002,0.5714285714285714,1.142857142857143,1.142857142857143,4.857142857142858,7.142857142857142,12.571428571428573,15.285714285714286,50.0,57.00000000000001,EST,3,CST,2,-1,4.0,0.0,1.0,4.0,1.0,0.0,-1.0,1,0,0,0,0,1
20151011BAL,2015-10-11 13:02:00,BAL,CLE,-3,12.142857142857142,13.285714285714288,9.857142857142858,11.428571428571429,1.2857142857142858,0.7142857142857143,0.8571428571428572,0.2857142857142857,146.14285714285714,144.42857142857144,19.571428571428573,22.857142857142858,0.28571428571428575,0.7142857142857144,2.0,1.0,11.0,5.428571428571429,13.285714285714286,15.000000000000002,51.28571428571429,58.42857142857144,EST,3,EST,3,0,7.0,1.0,0.0,10.0,1.0,0.0,0.0,0,1,0,1,0,0
