Date,abbrev,abbrev,offense_score,defense_score,quarter,time,down,goal_distance,down_distance,yards_gained,game_id,play_type,no_play,runner,receiver,sacked_qb,passer,penalty,home_on_offense,fumbled,intercepted
12/17/2017,ARI,WAS,0,7,1,12:34:00,1,71,10,1,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,11:53:00,2,70,9,11,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,0,7,1,11:10:00,1,59,10,5,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,10:28:00,2,54,5,3,201712170was,run,0,PennEl00,,,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,9:47:00,3,51,2,8,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,0,7,1,9:17:00,1,43,10,0,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,0,7,1,8:37:00,2,43,10,14,201712170was,pass,0,,FitzLa00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,0,7,1,7:59:00,1,29,10,1,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,7:16:00,2,28,9,4,201712170was,pass,0,,SealRi00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,0,7,1,6:42:00,3,24,5,7,201712170was,run,0,GabbBl00,,,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,6:00:00,1,17,10,5,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,5:19:00,2,12,5,-7,201712170was,sack,0,,,GabbBl00,,,0,0,0
12/17/2017,ARI,WAS,0,7,1,4:31:00,3,19,12,-4,201712170was,sack,0,,,GabbBl00,,,0,0,0
12/17/2017,ARI,WAS,3,7,1,1:57:00,1,88,10,3,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,3,7,1,1:10:00,2,85,7,0,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,3,7,1,0:24:00,3,85,7,0,201712170was,pass,0,,FostD.01,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,3,14,2,13:20:00,1,74,10,4,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,3,14,2,12:39:00,2,70,6,0,201712170was,pass,0,,WillKe05,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,3,14,2,12:35:00,3,70,6,17,201712170was,pass,0,,NiklTr00,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,3,14,2,11:51:00,1,53,10,5,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,3,14,2,11:13:00,2,48,5,4,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,3,14,2,9:57:00,4,44,1,1,201712170was,run,0,GabbBl00,,,,,0,0,0
12/17/2017,ARI,WAS,3,14,2,9:10:00,1,48,15,0,201712170was,pass,1,,BrowJa03,,GabbBl00,,0,0,0
12/17/2017,ARI,WAS,3,14,2,9:04:00,1,24,10,2,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,3,14,2,8:25:00,2,22,8,5,201712170was,run,0,WillKe05,,,,,0,0,0
12/17/2017,ARI,WAS,3,14,2,7:44:00,3,17,3,0,201712170was,pass,0,,BrowJa03,,GabbBl00,,0,0,0
