"","player","year","proj_air","proj_yac","proj_rush","proj_total"
"453","T.Savage-00-0031064",2018,0.592989660495741,0.526225037974038,-0.238996417566662,0.880218280903117
"454","Z.Mettenberger-00-0031266",2016,0.109217550403906,-0.0620557072524249,-0.0580727046819057,-0.010910861530425
"455","Z.Mettenberger-00-0031266",2017,0.0405022892681142,-0.0385173040978902,-0.0272098387206567,-0.0252248535504328
"456","Z.Mettenberger-00-0031266",2018,0.00307232935010924,-0.0133740512603114,-0.00588920287001611,-0.0161909247802183
"457","T.West-00-0030661",2016,0,0,0,0
"458","T.West-00-0030661",2017,0,0,0,0
"459","T.West-00-0030661",2018,NA,NA,NA,NA
"460","A.McCarron-00-0031288",2016,0.110187097867018,0.00436537243957522,0.0324781044309944,0.147030574737588
"461","A.McCarron-00-0031288",2017,0.066112258720211,0.00261922346374513,0.0194868626585966,0.0882183448425528
"462","A.McCarron-00-0031288",2018,0.0220374195734037,0.000873074487915043,0.00649562088619888,0.0294061149475176
"463","A.Tanney-00-0029623",2016,0,0,0,0
"464","A.Tanney-00-0029623",2017,0,0,0,0
"465","A.Tanney-00-0029623",2018,0,0,0,0
"466","B.Daniels-00-0030120",2016,0,0,0,0
"467","B.Daniels-00-0030120",2017,0,0,0,0
"468","B.Daniels-00-0030120",2018,0,0,0,0
"469","J.Winston-00-0031503",2016,0.770580456389961,-0.37312465179576,0.286477015285847,0.683932819880048
"470","J.Winston-00-0031503",2017,2.44047702564917,0.666840286611883,0.218098080710768,3.32541539297182
"471","J.Winston-00-0031503",2018,3.1128232867161,1.71477646169857,0.0980833966370839,4.92568314505176
"472","Jo.Freeman-00-0026993",2016,0,0,0,0
"473","Jo.Freeman-00-0026993",2017,0,0,0,0
"474","Jo.Freeman-00-0026993",2018,0,0,0,0
"475","K.Moore-00-0029234",2016,-0.0151475137360756,-0.0199820490429243,-0.00950300733445983,-0.0446325701134597
"476","K.Moore-00-0029234",2017,-0.00908850824164533,-0.0119892294257546,-0.0057018044006759,-0.0267795420680758
"477","K.Moore-00-0029234",2018,-0.00302950274721511,-0.00399640980858486,-0.00190060146689197,-0.00892651402269193
"478","L.Jones-00-0030524",2016,0,0,0,0
"479","L.Jones-00-0030524",2017,0.172286527756916,0.144242821122597,-0.0132776766818087,0.303251672197704
"480","L.Jones-00-0030524",2018,0.103371916654149,0.0865456926735583,-0.0079666060090852,0.181951003318622
"481","M.Mariota-00-0032268",2016,0.451383585738641,0.0526311952792205,0.214283290222601,0.718298071240462
"482","M.Mariota-00-0032268",2017,1.47265806416425,0.479196201549943,0.659893376266708,2.6117476419809
"483","M.Mariota-00-0032268",2018,1.56072022809007,0.876211047289613,1.25782755832873,3.69475883370841
"484","S.Mannion-00-0032245",2016,0,0,0,0
"485","S.Mannion-00-0032245",2017,0,0,0,0
"486","S.Mannion-00-0032245",2018,0,0,0,0
"487","S.Renfree-00-0030569",2016,0,0,0,0
"488","S.Renfree-00-0030569",2017,0,0,0,0
"489","S.Renfree-00-0030569",2018,0,0,0,0
"490","B.Hundley-00-0031589",2016,NA,NA,NA,NA
"491","B.Hundley-00-0031589",2017,0,0,0,0
"492","B.Hundley-00-0031589",2018,0.242807167038878,0.530372184714621,0.469645050176585,1.24282440193008
"493","B.Petty-00-0031568",2016,NA,NA,NA,NA
"494","B.Petty-00-0031568",2017,0.181520731927888,0.122743027779762,-0.0131770949805061,0.291086664727145
"495","B.Petty-00-0031568",2018,0.286487834726512,0.265044401045099,0.122589756700305,0.674121992471916
"496","C.Cook-00-0032893",2016,NA,NA,NA,NA
"497","C.Cook-00-0032893",2017,0,0,0,0
"498","C.Cook-00-0032893",2018,0,0,0,0
"499","C.Jones-00-0033098",2016,NA,NA,NA,NA
"500","C.Jones-00-0033098",2017,0,0,0,0
"501","C.Jones-00-0033098",2018,0,0,0,0
"502","C.Kessler-00-0033104",2016,NA,NA,NA,NA
"503","C.Kessler-00-0033104",2017,0.655434400725672,0.466654444133124,-0.0676796987176806,1.05440914614112
"504","C.Kessler-00-0033104",2018,0.393260640435403,0.279992666479875,-0.0406078192306083,0.63264548768467
"505","C.Wentz-00-0032950",2016,NA,NA,NA,NA
"506","C.Wentz-00-0032950",2017,0.911882291606522,0.791244271367605,0.278229443840875,1.981356006815
"507","C.Wentz-00-0032950",2018,2.56212807448541,1.87168685315654,1.12164601359637,5.55546094123832
"508","D.Fales-00-0031076",2016,NA,NA,NA,NA
"509","D.Fales-00-0031076",2017,0,0,0,0
"510","D.Fales-00-0031076",2018,0,0,0,0
"511","D.Prescott-00-0033077",2016,NA,NA,NA,NA
"512","D.Prescott-00-0033077",2017,1.37418553854836,1.06939524064063,0.647636032569489,3.09121681175848
"513","D.Prescott-00-0033077",2018,1.80628341935112,1.11670176755115,1.3702568805319,4.29324206743417
"514","J.Brissett-00-0033119",2016,NA,NA,NA,NA
"515","J.Brissett-00-0033119",2017,0.0829085395752172,0.108021943544799,0.0874120081702111,0.278342491290228
"516","J.Brissett-00-0033119",2018,0.816070281601503,1.1778760091628,0.613616834660049,2.60756312542435
"517","J.Goff-00-0033106",2016,NA,NA,NA,NA
"518","J.Goff-00-0033106",2017,0.0371006661310462,0.22987107901945,-0.298020531010008,-0.0310487858595116
"519","J.Goff-00-0033106",2018,1.19756168276723,1.65065168677941,-0.211648813540827,2.63656455600581
"520","K.Hogan-00-0032784",2016,NA,NA,NA,NA
"521","K.Hogan-00-0032784",2017,0,0,0,0
"522","K.Hogan-00-0032784",2018,0.127873225154652,0.108216923386842,0.142624522372843,0.378714670914337
"523","P.Lynch-00-0033108",2016,NA,NA,NA,NA
"524","P.Lynch-00-0033108",2017,0.191351655148794,0.140418184988408,0.0750265251641028,0.406796365301305
"525","P.Lynch-00-0033108",2018,0.114810993089276,0.084250910993045,0.0450159150984617,0.244077819180783
"526","T.Boykin-00-0032462",2016,NA,NA,NA,NA
"527","T.Boykin-00-0032462",2017,0,0,0,0
"528","T.Boykin-00-0032462",2018,0,0,0,0
"529","T.Siemian-00-0032156",2016,NA,NA,NA,NA
"530","T.Siemian-00-0032156",2017,1.07196655555325,0.596355192289261,0.030431947686919,1.69875369552943
"531","T.Siemian-00-0032156",2018,1.33520124446851,0.639415568664063,0.3353758073976,2.30999262053017
"532","C.Beathard-00-0033936",2016,NA,NA,NA,NA
"533","C.Beathard-00-0033936",2017,NA,NA,NA,NA
"534","C.Beathard-00-0033936",2018,0.416994045016984,0.269213450612354,0.283682945822993,0.969890441452331
"535","C.Rush-00-0033662",2016,NA,NA,NA,NA
"536","C.Rush-00-0033662",2017,NA,NA,NA,NA
"537","C.Rush-00-0033662",2018,0,0,0,0
"538","D.Kizer-00-0033899",2016,NA,NA,NA,NA
"539","D.Kizer-00-0033899",2017,NA,NA,NA,NA
"540","D.Kizer-00-0033899",2018,0.571709235828289,0.249695997382208,1.04749703009985,1.86890226331035
"541","D.Watson-00-0033537",2016,NA,NA,NA,NA
"542","D.Watson-00-0033537",2017,NA,NA,NA,NA
"543","D.Watson-00-0033537",2018,0.6238108747364,0.526534152462842,0.678762587548489,1.82910761474773
"544","J.Callahan-00-0032630",2016,NA,NA,NA,NA
"545","J.Callahan-00-0032630",2017,NA,NA,NA,NA
"546","J.Callahan-00-0032630",2018,0,0,0,0
"547","J.Rudock-00-0032431",2016,NA,NA,NA,NA
"548","J.Rudock-00-0032431",2017,NA,NA,NA,NA
"549","J.Rudock-00-0032431",2018,0,0,0,0
"550","M.Trubisky-00-0033869",2016,NA,NA,NA,NA
"551","M.Trubisky-00-0033869",2017,NA,NA,NA,NA
"552","M.Trubisky-00-0033869",2018,0.796222828211261,0.526078165189165,0.310991595310854,1.63329258871128
"553","N.Peterman-00-0033958",2016,NA,NA,NA,NA
"554","N.Peterman-00-0033958",2017,NA,NA,NA,NA
"555","N.Peterman-00-0033958",2018,0,0,0,0
"556","N.Sudfeld-00-0032792",2016,NA,NA,NA,NA
"557","N.Sudfeld-00-0032792",2017,NA,NA,NA,NA
"558","N.Sudfeld-00-0032792",2018,0,0,0,0
"559","P.Mahomes-00-0033873",2016,NA,NA,NA,NA
"560","P.Mahomes-00-0033873",2017,NA,NA,NA,NA
"561","P.Mahomes-00-0033873",2018,0,0,0,0
"562","T.Bray-00-0030151",2016,NA,NA,NA,NA
"563","T.Bray-00-0030151",2017,NA,NA,NA,NA
"564","T.Bray-00-0030151",2018,0,0,0,0
"565","T.Heinicke-00-0031800",2016,NA,NA,NA,NA
"566","T.Heinicke-00-0031800",2017,NA,NA,NA,NA
"567","T.Heinicke-00-0031800",2018,0,0,0,0
